cwe_id,year,cve_count,pct_of_year,yoy_growth_pct
CWE-1333,2020,1,0.01,-50.0
CWE-1333,2021,24,0.11,2300.0
CWE-1333,2022,76,0.29,216.7
CWE-1333,2023,83,0.27,9.2
CWE-1333,2024,75,0.18,-9.6
CWE-1333,2025,73,0.15,-2.7
CWE-1333,2026,85,0.13,16.4
CWE-1334,2026,1,0.0,
CWE-1335,2024,1,0.0,
CWE-1335,2026,2,0.0,100.0
CWE-1336,2022,1,0.0,
CWE-1336,2023,2,0.01,100.0
CWE-1336,2024,12,0.03,500.0
CWE-1336,2025,33,0.07,175.0
CWE-1336,2026,83,0.13,151.5
CWE-134,2002,1,0.05,
CWE-134,2003,2,0.13,100.0
CWE-134,2004,5,0.2,150.0
CWE-134,2005,4,0.08,-20.0
CWE-134,2006,17,0.26,325.0
CWE-134,2007,30,0.45,76.5
CWE-134,2008,24,0.42,-20.0
CWE-134,2009,28,0.48,16.7
CWE-134,2010,15,0.32,-46.4
CWE-134,2011,10,0.24,-33.3
CWE-134,2012,11,0.21,10.0
CWE-134,2013,9,0.17,-18.2
CWE-134,2014,7,0.09,-22.2
CWE-134,2015,4,0.06,-42.9
CWE-134,2016,3,0.05,-25.0
CWE-134,2017,18,0.1,500.0
CWE-134,2018,22,0.12,22.2
CWE-134,2019,24,0.13,9.1
CWE-134,2020,12,0.06,-50.0
CWE-134,2021,14,0.06,16.7
CWE-134,2022,31,0.12,121.4
CWE-134,2023,25,0.08,-19.4
CWE-134,2024,24,0.06,-4.0
CWE-134,2025,19,0.04,-20.8
CWE-134,2026,40,0.06,110.5
CWE-1342,2024,1,0.0,
CWE-1342,2026,1,0.0,0.0
CWE-1357,2024,3,0.01,
CWE-1357,2025,1,0.0,-66.7
CWE-1357,2026,4,0.01,300.0
CWE-1366,2026,1,0.0,
CWE-138,2024,2,0.0,
CWE-138,2025,1,0.0,-50.0
CWE-138,2026,4,0.01,300.0
CWE-1384,2025,2,0.0,
CWE-1385,2024,2,0.0,
CWE-1385,2025,9,0.02,350.0
CWE-1385,2026,14,0.02,55.6
CWE-1386,2023,2,0.01,
CWE-1386,2024,1,0.0,-50.0
CWE-1386,2025,1,0.0,0.0
CWE-1386,2026,2,0.0,100.0
CWE-1389,2026,1,0.0,
CWE-1390,2024,6,0.01,
CWE-1390,2025,28,0.06,366.7
CWE-1390,2026,27,0.04,-3.6
CWE-1391,2023,1,0.0,
CWE-1391,2024,10,0.02,900.0
CWE-1391,2025,15,0.03,50.0
CWE-1391,2026,14,0.02,-6.7
CWE-1392,2023,2,0.01,
CWE-1392,2024,16,0.04,700.0
CWE-1392,2025,39,0.08,143.8
CWE-1392,2026,29,0.04,-25.6
CWE-1393,2023,1,0.0,
CWE-1393,2024,4,0.01,300.0
CWE-1393,2025,11,0.02,175.0
CWE-1393,2026,11,0.02,0.0
