cwe_id,feature_year,current_centrality,actual_next_centrality,predicted_next_centrality,naive_predicted_next_centrality
CWE-259,2025,0.0015109079273536296,0.00017584386532068765,0.009870296357739897,0.0015109079273536296
CWE-260,2025,0.00013947739499037628,0.0,0.009870296357739897,0.00013947739499037628
CWE-261,2025,0.0014567067950710224,9.268450003077666e-06,0.009870296357739897,0.0014567067950710224
CWE-264,2025,0.06267971563537736,2.1820456928984945e-05,0.059286459050045204,0.06267971563537736
CWE-266,2025,0.005512841473477668,0.030573591393467974,0.015900472269009078,0.005512841473477668
CWE-267,2025,0.0015667728506409905,0.009200405059696014,0.009870296357739897,0.0015667728506409905
CWE-268,2025,0.0002209640421961818,0.00027000044098740415,0.009870296357739897,0.0002209640421961818
CWE-269,2025,0.031670787831380116,0.044430579848743615,0.04156894933404371,0.031670787831380116
CWE-270,2025,0.0012568753942026856,0.0006099873727561533,0.009870296357739897,0.0012568753942026856
CWE-272,2025,7.001827520418693e-05,0.008418050609185853,0.009870296357739897,7.001827520418693e-05
CWE-276,2025,0.009860722406016716,0.004374144332509941,0.02095099011073399,0.009860722406016716
CWE-277,2025,0.00010081558014984036,0.0012971273779933618,0.009870296357739897,0.00010081558014984036
CWE-279,2025,0.0007065468801551013,0.0009885234089879724,0.009870296357739897,0.0007065468801551013
CWE-280,2025,0.008064376327944309,0.02719061378675619,0.01799486866670971,0.008064376327944309
CWE-281,2025,0.004614951245780335,0.001492003880274947,0.010508296494055129,0.004614951245780335
CWE-282,2025,0.00016236918868956892,5.394907754837172e-05,0.009870296357739897,0.00016236918868956892
CWE-283,2025,9.493446549849603e-05,0.0009283172363884793,0.009870296357739897,9.493446549849603e-05
CWE-284,2025,0.19531885617224956,0.06083499987671456,0.15429536180186504,0.19531885617224956
CWE-285,2025,0.007382144318198521,0.03943737407732078,0.01799486866670971,0.007382144318198521
CWE-286,2025,0.0003400794736931502,0.0006041126259608992,0.009870296357739897,0.0003400794736931502
CWE-287,2025,0.10174043920920603,0.04411444255593599,0.07737631870217948,0.10174043920920603
CWE-288,2025,0.008217423467499593,0.03116426389312457,0.03264763917885244,0.008217423467499593
CWE-289,2025,3.960365265720036e-05,0.001767223499043279,0.009870296357739897,3.960365265720036e-05
CWE-290,2025,0.009965714602868898,0.015319887920273813,0.03560376062287673,0.009965714602868898
CWE-294,2025,0.00014053524822272372,0.0043693091104023175,0.009870296357739897,0.00014053524822272372
CWE-295,2025,0.02254758792745527,0.044484045969493693,0.03986394846336423,0.02254758792745527
CWE-297,2025,0.0005885402349571194,0.0014248326748784149,0.009870296357739897,0.0005885402349571194
CWE-298,2025,3.4031521015203325e-05,0.0005057941282664417,0.009870296357739897,3.4031521015203325e-05
CWE-300,2025,0.0022291744131974107,0.00035923820575166517,0.009870296357739897,0.0022291744131974107
CWE-302,2025,0.00013275752636000582,0.0020575919851841895,0.009870296357739897,0.00013275752636000582
CWE-303,2025,0.0006501558238746548,0.01202106728110772,0.009870296357739897,0.0006501558238746548
CWE-304,2025,0.001469917947302302,0.0005674224945421477,0.009870296357739897,0.001469917947302302
CWE-305,2025,0.0036743427574943144,0.0026233473450661756,0.009870296357739897,0.0036743427574943144
CWE-306,2025,0.042635704283462514,0.23269167574584018,0.05446959639221777,0.042635704283462514
CWE-307,2025,0.0018157988322440761,0.006098117359239391,0.009870296357739897,0.0018157988322440761
CWE-310,2025,0.14607866431930713,0.000683095967379547,0.14413652766984852,0.14607866431930713
CWE-311,2025,0.0009650210607785563,0.0019004147723643693,0.009870296357739897,0.0009650210607785563
CWE-312,2025,0.0048958405318608525,0.02839566817109768,0.014072538314434111,0.0048958405318608525
CWE-316,2025,0.0001717997490840003,2.649511843971962e-05,0.009870296357739897,0.0001717997490840003
CWE-319,2025,0.007750228571633413,0.028730745516854405,0.01799486866670971,0.007750228571633413
CWE-320,2025,8.54199624328409e-06,0.0006314529952098674,0.009870296357739897,8.54199624328409e-06
CWE-321,2025,0.013444699035313522,0.008604567921359052,0.022526143293278168,0.013444699035313522
CWE-324,2025,0.008041427899418354,2.3241004947715834e-05,0.01799486866670971,0.008041427899418354
CWE-325,2025,0.009068787115267242,0.15396868023618332,0.02095099011073399,0.009068787115267242
