source,target,weight,source_x,source_y,target_x,target_y
CWE-20,CWE-189,512.0,0.013655856251716614,-0.010220822878181934,0.03691590204834938,0.002064014319330454
CWE-20,CWE-613,187.0,0.013655856251716614,-0.010220822878181934,-0.022825172170996666,0.05865822732448578
CWE-20,CWE-772,267.0,0.013655856251716614,-0.010220822878181934,0.03577088192105293,-0.06114868447184563
CWE-20,CWE-346,185.0,0.013655856251716614,-0.010220822878181934,0.047239091247320175,0.002517459448426962
CWE-20,CWE-361,19.0,0.013655856251716614,-0.010220822878181934,0.14555597305297852,-0.06756856292486191
CWE-20,CWE-1188,444.0,0.013655856251716614,-0.010220822878181934,0.05926224961876869,-0.008316917344927788
CWE-20,CWE-776,39.0,0.013655856251716614,-0.010220822878181934,0.08742572367191315,-0.03817553073167801
CWE-20,CWE-502,318.0,0.013655856251716614,-0.010220822878181934,0.017515264451503754,0.04160669445991516
CWE-20,CWE-311,150.0,0.013655856251716614,-0.010220822878181934,-0.026199720799922943,-0.053280625492334366
CWE-20,CWE-326,228.0,0.013655856251716614,-0.010220822878181934,0.025557879358530045,0.03420320898294449
CWE-20,CWE-146,3.0,0.013655856251716614,-0.010220822878181934,0.21168571710586548,0.3200015127658844
CWE-20,CWE-693,76.0,0.013655856251716614,-0.010220822878181934,-0.05230729654431343,-0.02731916308403015
CWE-20,CWE-116,87.0,0.013655856251716614,-0.010220822878181934,-0.01807232014834881,0.02125776745378971
CWE-20,CWE-664,21.0,0.013655856251716614,-0.010220822878181934,0.03422590717673302,-0.1741102635860443
CWE-20,CWE-681,310.0,0.013655856251716614,-0.010220822878181934,0.05571829900145531,-0.027293333783745766
CWE-20,CWE-94,723.0,0.013655856251716614,-0.010220822878181934,0.016311705112457275,0.03439301252365112
CWE-20,CWE-843,299.0,0.013655856251716614,-0.010220822878181934,0.04702309891581535,-0.05865154787898064
CWE-20,CWE-436,41.0,0.013655856251716614,-0.010220822878181934,0.09354526549577713,0.012579171918332577
CWE-20,CWE-917,21.0,0.013655856251716614,-0.010220822878181934,0.07127700746059418,0.09791406989097595
CWE-20,CWE-787,5599.0,0.013655856251716614,-0.010220822878181934,0.013456960208714008,-0.030299469828605652
CWE-20,CWE-775,1.0,0.013655856251716614,-0.010220822878181934,0.3529963493347168,-0.3475213944911957
CWE-20,CWE-501,13.0,0.013655856251716614,-0.010220822878181934,0.14776766300201416,0.056982651352882385
