vendor,pca_x,pca_y,archetype_cluster,archetype_label,total_cves,share_CWE-79,share_CWE-89,share_CWE-787,share_CWE-119,share_CWE-20,share_CWE-22,share_CWE-352,share_CWE-125,share_CWE-862,share_CWE-200,share_CWE-416,share_CWE-78,share_CWE-476,share_CWE-264,share_CWE-94,share_CWE-284,share_CWE-287,share_CWE-434,share_CWE-120,share_CWE-74,share_Other
anthropic,0.09794022511331682,1.5994830124009682,0,Diffuse (no dominant category),33,0.0,0.0,0.0,0.0,0.0625,0.15625,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.53125
anujk305,1.9503692430377257,-1.682317817050467,1,Web-injection-heavy,31,0.5161290322580645,0.3225806451612903,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0
anviz,-0.19565887909146032,1.3243808077907315,0,Diffuse (no dominant category),21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.75
anysphere,0.7158194531139445,2.1031596391487004,0,Diffuse (no dominant category),22,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.2631578947368421,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.3157894736842105
aol,-1.9861916789208296,-0.49280987251204406,2,Memory-safety-heavy,57,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666
apache,-0.3386418939624539,1.2379442141443726,0,Diffuse (no dominant category),3378,0.08490890340323134,0.022688209006531453,0.014094190443451358,0.013062908215881746,0.08250257820556893,0.037126160192506016,0.013750429700928154,0.0089377793056033,0.012719147473358542,0.047438982468202134,0.006531454107940873,0.012031625988312134,0.0089377793056033,0.022688209006531453,0.023375730491577863,0.009281540048126504,0.025782055689240288,0.005843932622894466,0.0024063251976624267,0.011344104503265727,0.534547954623582
apereo,0.05775010643076929,2.1024041331168473,0,Diffuse (no dominant category),46,0.06818181818181818,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.11363636363636363,0.022727272727272728,0.0,0.06818181818181818,0.6136363636363636
apple,-1.7197347283546063,0.15718973638514247,0,Diffuse (no dominant category),8906,0.02322028719828903,0.00045829514207149406,0.08524289642529789,0.2543538038496792,0.07577146348915369,0.010388023220287198,0.0010693553315001528,0.05912007332722273,0.004430186373357776,0.07668805377329667,0.0432325084020776,0.0009165902841429881,0.007332722273143905,0.04216315307057745,0.008707607699358386,0.029025358997861288,0.010846318362358692,0.00015276504735716468,0.018026275588145433,0.0025970058050717995,0.24625725633974946
appleple,1.2548225844666552,0.45963341854427453,1,Web-injection-heavy,28,0.4230769230769231,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.2692307692307692
apport project,-0.23275179613584876,2.001304065135652,0,Diffuse (no dominant category),24,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.7368421052631579
apprain,1.864922836055816,-1.2359619985508197,1,Web-injection-heavy,38,0.7837837837837838,0.13513513513513514,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0
archerirm,0.8780204644371304,0.6619164181646461,0,Diffuse (no dominant category),28,0.5185185185185185,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.3333333333333333
argie,1.680416993564191,-1.7605674848846717,1,Web-injection-heavy,21,0.19047619047619047,0.7619047619047619,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
argoproj,-0.095981153981409,1.2477088934044127,0,Diffuse (no dominant category),74,0.12121212121212122,0.0,0.0,0.0,0.015151515151515152,0.07575757575757576,0.015151515151515152,0.0,0.045454545454545456,0.07575757575757576,0.0,0.0,0.030303030303030304,0.0,0.0,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.5909090909090909
argosoft,0.2691937755871871,0.4637027870883764,0,Diffuse (no dominant category),26,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
arista,-0.7454257787853134,1.7192658348074563,0,Diffuse (no dominant category),103,0.03614457831325301,0.04819277108433735,0.024096385542168676,0.012048192771084338,0.03614457831325301,0.012048192771084338,0.0,0.024096385542168676,0.0,0.0,0.012048192771084338,0.0963855421686747,0.0,0.024096385542168676,0.012048192771084338,0.0,0.08433734939759036,0.0,0.03614457831325301,0.0,0.5421686746987951
arm,-2.9754283399108337,-1.1767929437369868,2,Memory-safety-heavy,160,0.0,0.0,0.0547945205479452,0.0547945205479452,0.00684931506849315,0.0,0.0,0.0684931506849315,0.0,0.02054794520547945,0.2534246575342466,0.0,0.00684931506849315,0.0,0.0,0.00684931506849315,0.00684931506849315,0.0,0.04794520547945205,0.0,0.4726027397260274
arris,0.7268502885361952,1.7128444716913451,0,Diffuse (no dominant category),27,0.12,0.0,0.0,0.0,0.0,0.04,0.12,0.0,0.0,0.08,0.0,0.24,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.04,0.28
artbees,2.4493904450743593,-0.6123203362722937,1,Web-injection-heavy,20,0.13333333333333333,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.2
artica,1.1938236824836002,-0.007677445863174165,1,Web-injection-heavy,74,0.15714285714285714,0.12857142857142856,0.0,0.0,0.014285714285714285,0.014285714285714285,0.04285714285714286,0.0,0.0,0.014285714285714285,0.0,0.14285714285714285,0.0,0.0,0.04285714285714286,0.0,0.014285714285714285,0.14285714285714285,0.0,0.014285714285714285,0.2714285714285714
artifex,-2.817950565781324,-1.2252271112823832,2,Memory-safety-heavy,257,0.0,0.0,0.1506276150627615,0.13807531380753138,0.016736401673640166,0.016736401673640166,0.0,0.07531380753138076,0.0041841004184100415,0.029288702928870293,0.09205020920502092,0.008368200836820083,0.06694560669456066,0.0,0.0041841004184100415,0.0,0.0,0.0,0.07531380753138076,0.0,0.32217573221757323
arubanetworks,0.0822654603915537,1.1725884964999875,0,Diffuse (no dominant category),635,0.10865191146881288,0.09456740442655935,0.026156941649899398,0.002012072434607646,0.01006036217303823,0.05030181086519115,0.018108651911468814,0.004024144869215292,0.002012072434607646,0.018108651911468814,0.0,0.16096579476861167,0.0,0.014084507042253521,0.006036217303822937,0.03219315895372234,0.02012072434607646,0.008048289738430584,0.05432595573440644,0.004024144869215292,0.36619718309859156
