cwe_id,x,y,raw_frequency,centrality,degree,is_isolated
CWE-326,0.025557879358530045,0.03420320898294449,422,0.01384245339026447,13,False
CWE-327,-0.008809749037027359,0.023058077320456505,641,0.02421172020732074,18,False
CWE-328,-0.06693768501281738,0.041086044162511826,39,0.0004894531647258272,5,False
CWE-329,0.23650331795215607,-0.25693807005882263,5,0.0001780741945003427,5,False
CWE-330,-0.020030427724123,-0.047694627195596695,355,0.02139541300700331,9,False
CWE-331,-0.05529085174202919,0.01727178320288658,124,0.005570484402152126,5,False
CWE-332,-0.40871214866638184,0.10629690438508987,9,5.039817630201351e-05,5,False
CWE-333,,,1,0.0,0,True
CWE-334,-0.024278072640299797,-0.5057180523872375,5,5.333114471108062e-06,5,False
CWE-335,-0.08896322548389435,0.08787698298692703,39,0.000518879208259469,5,False
CWE-336,,,2,0.0,0,True
CWE-337,-0.2549270987510681,-0.4259483218193054,7,2.026963856418293e-05,6,False
CWE-338,0.10392333567142487,-0.042628854513168335,188,0.003060112043659634,7,False
CWE-339,,,1,0.0,0,True
CWE-340,-0.00979531928896904,0.12559355795383453,18,0.0009919268454298181,5,False
CWE-341,-0.2890687584877014,-0.011394874192774296,7,3.113502839810911e-05,5,False
CWE-342,0.4294115900993347,-0.04928337410092354,1,2.921737879562906e-05,5,False
CWE-343,-0.25956785678863525,0.4542049169540405,2,8.326912709036253e-06,5,False
CWE-344,,,1,0.0,0,True
CWE-345,-0.004358022939413786,-0.005020817741751671,639,0.02928642345007019,14,False
CWE-346,0.047239091247320175,0.002517459448426962,628,0.01671074194935393,14,False
CWE-347,0.04296262934803963,-0.04241947457194328,738,0.03250673110692169,22,False
CWE-348,-0.07902655750513077,0.2362358719110489,44,0.0002444947971904035,5,False
CWE-349,0.11062750220298767,-0.0357595831155777,29,0.00309736102677893,7,False
CWE-350,0.1272965371608734,0.23308199644088745,18,0.0002141507732484953,6,False
CWE-351,0.18251264095306396,0.1688966006040573,10,0.0003730970496149956,6,False
CWE-352,-0.006803485099226236,0.04415507614612579,9358,0.04031580876133758,52,False
CWE-353,-0.0918911024928093,-0.10272646695375443,23,0.001575385685092106,6,False
CWE-354,-0.04935147613286972,-0.006182657089084387,161,0.006038361703435044,5,False
CWE-356,0.13261988759040833,0.14514578878879547,18,0.0005313978655674316,5,False
CWE-357,-0.08807486295700073,-0.11568216979503632,8,0.001807519508921242,5,False
CWE-358,0.07049589604139328,0.07774179428815842,67,0.002709065512066824,5,False
CWE-359,0.054780684411525726,-0.04780058562755585,120,0.01134443206307834,7,False
CWE-361,0.14555597305297852,-0.06756856292486191,7,0.001337423296992642,5,False
CWE-362,0.0016376582207158208,-0.035644758492708206,2499,0.1435055514834301,46,False
CWE-363,-0.3413692116737366,-0.33381590247154236,2,1.321604650078223e-05,5,False
CWE-364,0.15949374437332153,-0.23285363614559174,7,0.0003346181880713431,5,False
CWE-366,-0.12512007355690002,0.40704813599586487,8,6.920170562061305e-05,5,False
CWE-367,0.004442186560481787,-0.030461175367236137,687,0.1477731846479692,25,False
CWE-369,0.006582038942724466,-0.04316810518503189,457,0.03820536977020819,7,False
CWE-371,-0.21914327144622803,-0.4086270034313202,3,3.170081183231245e-05,5,False
CWE-372,0.3398037254810333,0.1076585128903389,5,0.0001326728642004604,5,False
CWE-377,-0.08711107820272446,0.20825797319412231,47,0.0003793004265980772,6,False
CWE-378,-0.03357866406440735,0.3114500343799591,19,9.28588884026957e-05,5,False
CWE-379,0.24753598868846893,-0.07228720933198929,25,0.0002391149054605591,5,False
CWE-384,0.013454395346343517,0.06624923646450043,394,0.007190809800877485,9,False
CWE-385,0.16805364191532135,0.3015649616718292,18,0.0001023046921625319,6,False
CWE-386,0.3370930254459381,-0.15695537626743317,1,0.0001602592360515383,5,False
CWE-388,0.07492925971746445,-0.05114976689219475,36,0.00645988985684045,5,False
CWE-390,-0.03193885460495949,-0.16397950053215027,14,0.001402503513916685,7,False
CWE-391,0.09087325632572174,0.3210875689983368,4,0.0001099428645365761,5,False
CWE-392,0.12108538299798965,-0.30413147807121277,6,0.0001000899477839554,6,False
CWE-393,0.1024026945233345,-0.5099508166313171,2,2.407890987043711e-05,5,False
CWE-394,0.2524769604206085,-0.21134589612483978,7,0.0001038589170631675,6,False
CWE-395,-0.00810081698000431,-0.4253523647785187,11,4.918633437172226e-05,5,False
CWE-396,0.36245572566986084,-0.15347062051296234,2,2.798262502820134e-05,5,False
CWE-399,0.03767465054988861,-0.006188033148646355,2486,0.0272881797506274,8,False
CWE-400,0.010623614303767681,-0.016742393374443054,2646,0.1261599454123642,64,False
CWE-401,0.01224121917039156,-0.057412948459386826,1898,0.1031841992907178,18,False
CWE-402,0.00025439573801122606,0.42690688371658325,10,3.505012127638061e-05,5,False
CWE-403,0.29626578092575073,-0.007267076056450605,5,0.0001641876361708024,5,False
CWE-404,0.007670851424336433,0.02081386186182499,607,0.01181087880687131,8,False
CWE-405,0.005611983127892017,-0.2922751307487488,41,0.0001479284684754486,8,False
CWE-406,-0.22442710399627686,0.12358306348323822,12,0.0001904760207032054,5,False
CWE-407,0.11985025554895401,0.05160811170935631,130,0.001493648202433453,6,False
CWE-408,-0.3241458535194397,-0.3862483501434326,5,7.24608589844623e-05,6,False
CWE-409,0.12855610251426697,0.03906502574682236,98,0.0007392430482398302,7,False
CWE-410,0.09598679095506668,0.05446712672710419,9,0.00116498973670075,5,False
CWE-412,,,3,0.0,0,True
CWE-413,0.3628363013267517,-0.20998376607894897,6,5.337971084044132e-05,5,False
CWE-414,0.27879902720451355,-0.39033177495002747,4,8.462441754334038e-05,5,False
CWE-415,0.020031388849020004,-0.050771698355674744,817,0.1863977716962534,11,False
CWE-416,0.015500559471547604,-0.05202285572886467,7823,0.2541584125095512,109,False
CWE-417,0.14705494046211243,0.13297243416309357,14,0.0006864092019914585,5,False
CWE-419,-0.6990829110145569,-0.715106725692749,4,1.241422068784479e-08,1,False
CWE-420,-0.10525766015052795,-0.0805601105093956,24,0.0007060871688176843,5,False
CWE-421,,,3,0.0,0,True
CWE-422,-0.40077143907546997,-0.3909974694252014,2,1.250230290476432e-05,4,False
CWE-424,0.43764686584472656,0.019270574674010277,24,2.850399501735091e-05,5,False
CWE-425,-0.048643238842487335,0.04715702310204506,215,0.002114285922098082,6,False
CWE-426,0.06921835243701935,-0.020823508501052856,630,0.01063847603567557,10,False
CWE-427,0.05031239241361618,0.015679018571972847,1144,0.007526253714563213,9,False
CWE-428,0.05543689802289009,0.10267236083745956,436,0.001062141301262215,5,False
CWE-430,,,1,0.0,0,True
CWE-431,0.2963733673095703,-0.4061957001686096,1,8.46234717252364e-05,5,False
CWE-433,,,1,0.0,0,True
CWE-434,-0.010650712065398693,0.05606949329376221,3905,0.01754808243080126,28,False
CWE-435,0.5748196840286255,-0.39068564772605896,1,2.163366448880427e-06,2,False
CWE-436,0.09354526549577713,0.012579171918332577,120,0.003963557431752709,9,False
CWE-437,-0.571895956993103,-0.651310384273529,1,6.969842911451201e-06,1,False
CWE-440,0.0972217321395874,-0.24312055110931396,24,0.0003963545291297361,6,False
CWE-441,-0.13947561383247375,0.12902885675430298,100,0.0006605694665637116,6,False
CWE-444,0.07094815373420715,0.0026893659960478544,370,0.00918441373514844,11,False
CWE-446,0.3231830894947052,-0.23001855611801147,2,8.205043862473323e-05,5,False
CWE-447,0.13335083425045013,-0.5079540014266968,2,7.583674900333232e-05,5,False
CWE-448,0.3931790888309479,0.14604653418064117,2,4.562708290883367e-05,5,False
CWE-449,-0.050308406352996826,-0.43172046542167664,3,6.925834708524471e-05,5,False
CWE-450,0.11571478843688965,-0.391223281621933,1,6.78828258120719e-05,5,False
CWE-451,-0.037243109196424484,-0.11432785540819168,290,0.002049537735301084,7,False
CWE-453,-0.3014795184135437,0.03235766291618347,6,0.0002285084153523892,7,False
CWE-454,-0.33406737446784973,0.14750179648399353,3,2.983297016322079e-05,5,False
